timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,1,22,31,1,-1,0,12,3
1.52968E+15,-3,-7,-1,3,3,-4,-17,-2
1.52968E+15,0,6,-7,-9,-5,-7,-3,-4
1.52968E+15,1,-12,12,6,1,6,4,2
1.52968E+15,4,10,2,9,-2,-3,-3,-5
1.52968E+15,-3,-1,-17,-16,-4,2,30,4
1.52968E+15,-4,-6,-8,1,2,2,-20,-1
1.52968E+15,4,-1,-17,-2,-4,-18,-5,-1
1.52968E+15,-2,-9,14,8,11,20,24,0
1.52968E+15,5,24,17,0,2,2,8,5
1.52968E+15,-4,1,-17,-9,-4,-4,-10,-24
1.52968E+15,0,-3,16,3,-5,-10,6,2
1.52968E+15,7,18,-8,4,3,5,-8,4
1.52968E+15,-8,-49,-38,-11,-3,-4,-7,-5
1.52968E+15,-1,-2,23,0,-1,-5,15,10
1.52968E+15,-1,-9,-20,0,1,0,-8,-11
1.52968E+15,-2,11,0,-12,-5,-3,13,-5
1.52968E+15,5,15,51,18,-3,-8,-23,0
1.52968E+15,-1,-15,-35,-14,-1,-5,15,18
1.52968E+15,5,24,28,8,2,7,10,4
1.52968E+15,-4,-14,-6,0,-2,-6,-12,-4
1.52968E+15,-1,0,-14,2,3,17,10,-3
1.52968E+15,4,7,-1,0,2,0,1,1
1.52968E+15,-2,4,-10,-8,1,-5,5,2
1.52968E+15,1,-13,7,-3,-4,-9,-14,2
1.52968E+15,4,9,6,3,3,7,9,9
1.52968E+15,-1,-2,7,5,0,-2,-1,1
1.52968E+15,-7,-1,-8,-6,-3,-3,5,-6
1.52968E+15,2,-7,-3,7,2,5,-13,2
1.52968E+15,-7,-11,-5,-5,-6,-6,-8,-15
1.52968E+15,1,4,0,6,1,-7,1,-2
1.52968E+15,0,-5,-1,-4,3,14,27,14
1.52968E+15,0,2,1,-6,1,3,13,-6
1.52968E+15,2,0,-20,6,5,0,-16,-2
1.52968E+15,0,-2,23,11,2,3,-3,1
1.52968E+15,0,9,4,-10,-9,-12,12,2
1.52968E+15,1,-1,4,-5,-3,-6,-10,-2
1.52968E+15,-1,-5,-5,-7,-2,2,-1,0
1.52968E+15,-4,-7,-1,5,-1,-6,-11,-9
1.52968E+15,-5,-8,-8,5,3,-4,-15,-11
1.52968E+15,-2,-10,-3,-1,-2,6,21,3
1.52968E+15,3,22,-1,0,0,-12,-15,-3
1.52968E+15,-2,-9,10,-4,-7,-6,-5,-1
1.52968E+15,2,4,0,3,0,-4,-9,-1
1.52968E+15,-4,-28,-19,-7,1,14,31,-10
1.52968E+15,1,8,6,2,-2,-16,-9,8
1.52968E+15,1,18,1,3,1,12,2,-1
